Outer_MeanRewards,GenGoal_frac_Performance Variation,Outer_Success,GenGoal_frac_Other,GenGoal_frac_Low rewards,GenGoal_frac_High rewards,Outer_iter,GenGoal_frac_Good goals
-1861.4434317633088,0.0,0.19852941176470584,0.0,0.6166666666666667,0.07,1,0.31333333333333335
-1443.4563933874556,0.0,0.12745098039215685,0.0,0.6833333333333333,0.03,2,0.2866666666666667
-1497.4954565170679,0.0,0.267156862745098,0.0,0.5666666666666667,0.17333333333333334,3,0.26
-1482.5611821963482,0.0,0.30392156862745096,0.0,0.5933333333333334,0.29333333333333333,4,0.11333333333333333
-1364.2039393165212,0.0,0.2536764705882353,0.0,0.63,0.12333333333333334,5,0.24666666666666667
-1341.2704066251963,0.0,0.3799019607843137,0.0,0.57,0.39,6,0.04
-1481.9669769042418,0.0,0.24754901960784312,0.0,0.6166666666666667,0.20666666666666667,7,0.17666666666666667
-1374.9592744023748,0.0,0.27328431372549017,0.0,0.58,0.18,8,0.24
-1488.686608338177,0.0,0.3002450980392157,0.0,0.6733333333333333,0.31,9,0.016666666666666666
-1507.1203303832476,0.0,0.27450980392156865,0.0,0.69,0.27,10,0.04
-1565.314630090111,0.0,0.2426470588235294,0.0,0.74,0.18,11,0.08
-1579.1692370041467,0.0,0.2659313725490196,0.0,0.69,0.2966666666666667,12,0.013333333333333334
-1601.4307722364276,0.0,0.26715686274509803,0.0,0.7333333333333333,0.23,13,0.03666666666666667
-1553.9041922924343,0.0,0.24877450980392155,0.0,0.7233333333333334,0.19,14,0.08666666666666667
-1555.694473518537,0.0,0.1727941176470588,0.0,0.7133333333333334,0.08,15,0.20666666666666667
-1553.3333824391066,0.0,0.22426470588235292,0.0,0.74,0.16333333333333333,16,0.09666666666666666
-1541.1084775294885,0.0,0.29411764705882354,0.0,0.7066666666666667,0.29,17,0.0033333333333333335
-1532.1464717853512,0.0,0.31004901960784315,0.0,0.74,0.25333333333333335,18,0.006666666666666667
-1533.3967112989576,0.0,0.25735294117647056,0.0,0.7033333333333334,0.24333333333333335,19,0.05333333333333334
-1506.559145576942,0.0,0.28921568627450983,0.0,0.7033333333333334,0.28,20,0.016666666666666666
-1492.256633741703,0.0,0.28186274509803916,0.0,0.6766666666666666,0.29,21,0.03333333333333333
-1508.3596949094374,0.0,0.24509803921568624,0.0,0.6866666666666666,0.19,22,0.12333333333333334
-1496.922512212023,0.0,0.29411764705882354,0.0,0.6466666666666666,0.33666666666666667,23,0.016666666666666666
-1509.4607948904356,0.0,0.2757352941176471,0.0,0.72,0.24333333333333335,24,0.03666666666666667
-1512.3816015853472,0.0,0.2977941176470589,0.0,0.6933333333333334,0.2866666666666667,25,0.02
-1562.829098508151,0.0,0.20220588235294115,0.0,0.7166666666666667,0.11333333333333333,26,0.17
-1501.9518973349604,0.0,0.30269607843137253,0.0,0.6966666666666667,0.29,27,0.013333333333333334
-1476.8091535071903,0.0,0.2855392156862745,0.0,0.67,0.2833333333333333,28,0.04666666666666667
-1516.9817875928472,0.0,0.2598039215686274,0.0,0.6933333333333334,0.25333333333333335,29,0.05333333333333334
-1452.3274321502963,0.0,0.30269607843137253,0.0,0.6433333333333333,0.30666666666666664,30,0.05
-1457.1022477249858,0.0,0.18872549019607843,0.0,0.6633333333333333,0.1,31,0.23666666666666666
-1505.4164240219052,0.0,0.21078431372549017,0.0,0.7166666666666667,0.16666666666666666,32,0.11666666666666667
-1508.9264682455075,0.0,0.27941176470588236,0.0,0.7233333333333334,0.24666666666666667,33,0.03
-1464.9139017597117,0.0,0.30514705882352944,0.0,0.65,0.29,34,0.06
-1463.365942566973,0.0,0.31985294117647056,0.0,0.6233333333333333,0.36333333333333334,35,0.013333333333333334
